fetched_at,commence_time,home_team,away_team,sportsbook,home_spread,away_spread,home_spread_price,away_spread_price
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TB,CLE,bovada,-8.0,8.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,draftkings,3.5,-3.5,-108,-112
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,mybookieag,3.5,-3.5,-120,100
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,lowvig,3.0,-3.0,103,-114
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,betonlineag,3.0,-3.0,-103,-117
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,betus,3.0,-3.0,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,fanduel,3.5,-3.5,-112,-108
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,betrivers,3.5,-3.5,-115,-106
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,betmgm,3.5,-3.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NYJ,GB,bovada,3.0,-3.0,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,draftkings,-5.5,5.5,-112,-108
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,betus,-5.5,5.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,mybookieag,-5.5,5.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,lowvig,-5.5,5.5,-104,-106
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,betonlineag,-5.5,5.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,fanduel,-4.5,4.5,-120,-102
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,betrivers,-5.0,5.0,-112,-109
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,betmgm,-5.5,5.5,-108,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,NE,PIT,bovada,-5.5,5.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,draftkings,7.0,-7.0,-102,-118
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,betus,7.5,-7.5,-120,100
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,mybookieag,7.0,-7.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,lowvig,7.0,-7.0,-106,-104
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,betonlineag,7.0,-7.0,-108,-112
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,fanduel,7.0,-7.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,betrivers,7.0,-7.0,-107,-114
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,betmgm,7.0,-7.0,-102,-115
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,TEN,PHI,bovada,7.0,-7.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,draftkings,-2.5,2.5,-120,100
