model,kelly_multiplier,n_games,n_bets,wins,losses,pushes,win_rate,total_staked,total_profit,roi_on_turnover,starting_bankroll,final_bankroll,total_return_pct,max_drawdown_pct
logistic_regression,1.0,895,679,355,309,15,0.5346385542168675,309285.1593901982,-9045.081810078822,-0.029245120677346918,10000.0,954.9181899211802,-0.904508181007882,-0.9974571048823093
xgboost,1.0,895,719,356,347,16,0.5064011379800853,269170.02536243305,-9980.597673281383,-0.037079157160395816,10000.0,19.402326718639802,-0.9980597673281361,-0.9997292846356607
logistic_regression,0.25,895,679,355,309,15,0.5346385542168675,237343.67556951276,4047.686476017202,0.017054115582834324,10000.0,14047.686476017201,0.40476864760172004,-0.7131820409828195
xgboost,0.25,895,719,356,347,16,0.5064011379800853,284502.72378309665,642.665707450461,0.002258908803770982,10000.0,10642.665707450467,0.06426657074504671,-0.6357123082476437
